InputIndex,Address to Validate,LOCALITY,Primary Address,Locality,Postcode,Local Government Name,LotNumber,PlanNumber,Longitude,Latitude,GeocodeType,Confidence,FullAddress,Complex-Building Name,Comment
2,5 Mango st,MAROOCHYDORE,5 MANGO ST,MAROOCHYDORE,4558,SUNSHINE COAST REGIONAL,36,RP132243,153.06926267,-26.65616751,PC,100,5 MANGO ST  MAROOCHYDORE QLD 4558,, 
3,10 Mango st,MAROOCHYDORE,10 MANGO ST,MAROOCHYDORE,4558,SUNSHINE COAST REGIONAL,41,RP132243,153.06955872,-26.65668757,PC,100,10 MANGO ST  MAROOCHYDORE QLD 4558,, 
6,12 Short st,BUDERIM,12 SHORT ST,BUDERIM,4556,SUNSHINE COAST REGIONAL,53,RP881267,153.06656468,-26.68168993,PC,100,12 SHORT ST  BUDERIM QLD 4556,(SEVEN PEAKS), 
9,35 Kerenjon ave,BUDERIM,35 KERENJON AV,BUDERIM,4556,SUNSHINE COAST REGIONAL,16,RP133666,153.05625824,-26.66650797,PC,100,35 KERENJON AV  BUDERIM QLD 4556,, 
10,27A Rim rd,BUDERIM,27A RIM RD,BUDERIM,4556,SUNSHINE COAST REGIONAL,69,RP806777,153.07931285,-26.67744286,PC,100,27A RIM RD  BUDERIM QLD 4556,, 
11,4 Shandon ct,BUDERIM,4 SHANDON CT,BUDERIM,4556,SUNSHINE COAST REGIONAL,1,RP148038,153.07754817,-26.67762445,PC,100,4 SHANDON CT  BUDERIM QLD 4556,, 
12,25 Rim rd,BUDERIM,25 RIM RD,BUDERIM,4556,SUNSHINE COAST REGIONAL,2,RP124856,153.07884385,-26.67748209,PC,100,25 RIM RD  BUDERIM QLD 4556,, 
13,3 Shandon ct,BUDERIM,3 SHANDON CT,BUDERIM,4556,SUNSHINE COAST REGIONAL,8,RP99499,153.07799684,-26.67796318,PC,100,3 SHANDON CT  BUDERIM QLD 4556,, 
14,24 Rim rd,BUDERIM,24 RIM RD,BUDERIM,4556,SUNSHINE COAST REGIONAL,4,RP124856,153.07846702,-26.67816968,PC,100,24 RIM RD  BUDERIM QLD 4556,, 
15,23 Page st,KUNDA PARK,23 PAGE ST,KUNDA PARK,4556,SUNSHINE COAST REGIONAL,2,RP171240,153.03730398,-26.66059568,PC,100,23 PAGE ST  KUNDA PARK QLD 4556,, 
