id,Employee Number,Home Address,Domiciled Work Location
1,EMP1,Home - BURPENGARY,Southern Service Centre
2,EMP2,Home - Burpengary East,Southern Service Centre
3,EMP3,N/A,N/A
4,EMP4,N/A,N/A
5,EMP5,N/A,"Treatment Plants - Kawana, Maleny, Kenilworth, Landsborough"
6,EMP6,Home - PALMVIEW,Northern Service Centre
7,EMP7,Home - COORAN,Northern Service Centre
8,EMP8,Home - Mount Coolum,Northern Service Centre
9,EMP9,Home - Cotton Tree,Northern Corporate Centre
10,EMP10,Home - BURNSIDE,Northern Corporate Centre
11,EMP11,Home - Aroona,Northern Service Centre
12,EMP12,Home - POMONA,Southern Service Centre
13,EMP13,N/A,N/A
14,EMP14,Home - NARANGBA,"Treatment Plants - South Caboolture, Woodford, Burpengary, Bribie Island"
15,EMP15,Home - BALD HILLS,Southern Service Centre
16,EMP16,Home - KENILWORTH,Northern Corporate Centre
17,EMP17,Home - SIPPY DOWNS,Northern Service Centre
18,EMP18,Home - BRAY PARK,Treatment Plant Murrumba Dayboro
19,EMP19,Home - Rosemount,Northern Corporate Centre
20,EMP20,N/A,Northern Service Centre
21,EMP21,Home - MAROOCHYDORE,Northern Corporate Centre
22,EMP22,Home - Aroona,"Treatment Plants - Kawana,  Landsborough, Maleny"
23,EMP23,Home - BALD HILLS,Southern Service Centre
24,EMP24,N/A,N/A
25,EMP25,N/A,Southern Service Centre
26,EMP26,N/A,N/A
27,EMP27,N/A,N/A
28,EMP28,N/A,N/A
29,EMP29,Home - BUDERIM,Northern Corporate Centre
30,EMP30,Home - Morayfield,Northern Corporate Centre
31,EMP31,Home - TEWANTIN,Northern Service Centre
32,EMP32,N/A,N/A
33,EMP33,Home - KALLANGUR,Southern Service Centre
34,EMP34,N/A,N/A
35,EMP35,Home - AROONA,Northern Corporate Centre
36,EMP36,Home - CABOOLTURE,Southern Service Centre
37,EMP37,Home - BUDERIM LINKS,Northern Service Centre
38,EMP38,N/A,Northern Service Centre
39,EMP39,N/A,N/A
40,EMP40,Home - PETRIE,Southern Service Centre
41,EMP41,Home - CABOOLTURE,Southern Service Centre
42,EMP42,Home - Woombye,Northern Service Centre
43,EMP43,Home - CABOOLTURE,Southern Service Centre
44,EMP44,Home - Morayfield,Southern Corporate Centre
45,EMP45,Home - MARCOOLA,Treatment Plant Maroochydore
46,EMP46,Home - Ashgrove,Northern Corporate Centre
47,EMP47,Home - Maroochydore,Northern Corporate Centre
48,EMP48,Home - Brighton,Southern Service Centre
49,EMP49,N/A,N/A
50,EMP50,N/A,N/A
51,EMP51,N/A,N/A
52,EMP52,N/A,N/A
53,EMP53,Home - BUDERIM,Northern Service Centre
54,EMP54,N/A,N/A
55,EMP55,N/A,Northern Corporate Centre
56,EMP56,N/A,Southern Service Centre
57,EMP57,N/A,N/A
58,EMP58,Home - Yaroomba,Northern Service Centre
59,EMP59,Home - BELLMERE,Southern Service Centre
60,EMP60,Home - Caboolture,Southern Service Centre
61,EMP61,Home - MAPLETON,Northern Corporate Centre
62,EMP62,Home - PALMWOODS,Northern Service Centre
63,EMP63,Home - BUDERIM,"Treatment Plants - Kawana, Maleny, Kenilworth, Landsborough"
64,EMP64,N/A,N/A
65,EMP65,Home - Dakabin,Southern Service Centre
66,EMP66,Home - WARNER,Southern Service Centre
67,EMP67,Home - Maroochydore,Northern Corporate Centre
68,EMP68,Home - BANKSIA BEACH,Southern Service Centre
69,EMP69,Home - kippa-ring,Southern Service Centre
70,EMP70,Home - BEERWAH,Southern Service Centre
71,EMP71,Home - Nambour,Northern Service Centre
72,EMP72,Home - Kings Beach,Southern Service Centre
73,EMP73,Home - GOLDEN BEACH,"Treatment Plants - Kawana, Maleny, Kenilworth, Landsborough"
74,EMP74,Home - Morayfield,Southern Service Centre
75,EMP75,Home - PARREARRA,Northern Service Centre
76,EMP76,Home - MOOLOOLAH VALLEY,Northern Corporate Centre
77,EMP77,Home - Alexandra Headland,Northern Service Centre
78,EMP78,Home - WARANA,Northern Service Centre
79,EMP79,Home - ROTHWELL,Southern Service Centre
80,EMP80,Home - UPPER CABOOLTURE,Southern Service Centre
81,EMP81,Home - Noosaville,Northern Service Centre
82,EMP82,Home - COOLUM,Northern Service Centre
83,EMP83,Home - BUDERIM,Northern Service Centre
84,EMP84,Home - Woody Point,Southern Service Centre
85,EMP85,Home - DAYBORO,Southern Service Centre
86,EMP86,Home - Buddina,Northern Corporate Centre
87,EMP87,Home - WOODFORD,Southern Service Centre
88,EMP88,Home - Birtinya,Northern Service Centre
89,EMP89,N/A,N/A
90,EMP90,Home - MAROOCHYDORE,Northern Service Centre
91,EMP91,N/A,N/A
