id,Vehicle Name,Vehicle Description,Branch
1,T1125 FS Nth,Truck Isuzu NPR300 Tipper,Field Services North
2,T1135 ME Nth,Truck Isuzu FRR600 Crane PFT 11T,Mechanical and Electrical Services - North
3,T1140 FS Nth,Truck Isuzu NQR450 Multi Purpose 8.7T,Field Services North
4,T1144 ME Sth,Truck Isuzu FRR500 Multi Purpose 10.7T,Mechanical and Electrical Services - South
5,T1145 FS Nth,Truck Isuzu FRR500 Multi Purpose 10.7T,Field Services North
6,T1146 FS Sth,Truck Isuzu FRR500 Multi Purpose 10.7T,Field Services South
7,T1147 FS Sth,Truck Isuzu NQR450 Multi Purpose 8.7T,Field Services South
8,T1149 FS Sth,Truck Isuzu FRR500 Multi Purpose 10.7T,Field Services South
9,T1150 FS Sth,Truck Isuzu NQR450 Multi Purpose 8.7T,Field Services South
10,T1151 FS Sth,Truck Mitsubishi Fighter Multi Purpose 10.4T,Field Services South
11,T1152 Pri Wks Nth,Truck Isuzu NQR450 Multi Purpose 8.5T,Private Works North
12,T1153 ME Nth,Truck Isuzu FRR500 Crane PFT 10.7T,Mechanical and Electrical Services - North
13,T1154  ME Nth,Truck Isuzu FRR500 Crane PFT 10.7T,Mechanical and Electrical Services - North
14,T1155 ME Sth,Truck Isuzu FRR500 Crane PFT 10.7T,Mechanical and Electrical Services - South
15,T1157 FS Sth,Truck Isuzu NQR450 Multi Purpose 8.7T,Field Services South
16,T1159 FS Sth,Truck Mitsubishi Canter FE Multi Purpose,Field Services South
17,T1160 FS Sth,Truck Mitsubishi Canter FE Multi Purpose,Field Services South
18,T1161 FS Nth,Truck Mitsubishi Canter FE Multi Purpose,Field Services North
19,T1162 FS Sth,Truck Isuzu NPR300 Tipper 6.5T,Field Services South
20,T1163 FS Sth,Truck Isuzu NPR300 Tipper 6.5T,Field Services South
21,T1164 FS Sth,Truck Mitsubishi Canter FE Multi Purpose,Field Services South
22,T1165 FS Nth,Truck Mitsubishi Fighter Tip/Crane 12T,Field Services North
23,T1166 FS Sth,Truck Mitsubishi Canter FE Multi Purpose 8.5T,Field Services South
24,T1167 Vac Truck NSC,Truck Mitsubishi Fuso 1427 Yellow Vacuum / Jetter 13.5T,Field Services North
25,T1168 ME Sth,Truck Mitsubishi Fighter PFT,Mechanical and Electrical Services - South
26,T1169 ME Nth,Truck Mitsubishi Fuso Crane,Mechanical and Electrical Services - North
27,T1170 ME Sth,Truck Mitsubishi Fuso Mech. Services Crane,Mechanical and Electrical Services - South
28,T1171 ME Sth,Truck Mitsubishi Fuso Crane PFT,Mechanical and Electrical Services - South
29,T1172 FS Sth,Truck Isuzu NQR 87-190 Multi Purpose Truck 8.5T,Field Services South
30,T1173 ME Crane Truck,Truck Isuzu Giga 455 CXZ Crane Heavy 24T,Mechanical and Electrical Services - North
31,T1174 Vac Truck SSC,Truck Mitsubishi Fuso Fighter 1224 Vac 12T,Field Services South
32,T1175 FS Sth,Truck Isuzu FSR 140/120 Tipper 14T,Field Services South
33,T1176 FS Sth,Truck Mitsubishi Fuso Canter Hybrid Tipper,Field Services South
34,T1177 Vac Truck Sugar Bag Rd,Truck Mitsubishi Fuso Fighter 1224 FK62 White Vac 12T,Field Services North
35,T1178 Pri Wks Nth,Truck Mitsubishi Fuso Canter 515 Light 4.5T,Private Works North
36,T1179 FS Sth,Truck Mitsubishi Canter 515 Light MRO 4.5T,Field Services South
37,T1180 FS Nth,Truck Mitsubishi Fuso Canter 515 Light 4.5T,Field Services North
38,T1181 Vac Truck Sth,Truck Mitsubishi Fuso Fighter 1224 FK62 Vac 12T,Field Services South
39,T1182 FS Nth,Truck Mitsubishi Canter 515 Light W/-small Crane 4.5T,Field Services North
40,T1183 FS Sth,Truck Mitsubishi Fuso Canter 515 Light MRO 4.5T,Field Services South
41,T1184 FS Sth,Truck Mitsubishi Fuso Canter 515 Light MRO 4.5T,Field Services South
42,T1185 FS Sth,Truck Mitsubishi Fuso Canter 515 Light MRO 4.5T,Field Services South
43,T1186 FS Nth,Truck Mitsubishi Fuso Canter 515 Light MRO 4.5T,Field Services North
44,T1187 FS Sth,Truck Mitsubishi Fuso Canter 515 Light MRO 4.5T,Field Services South
45,T1188 FS Nth,Truck Mitsubishi Fuso Canter 515 Light MRO 4.5T,Field Services North
46,T1189 FS Nth,Truck Mitsubishi Fuso Canter 515 Light MRO 4.5T,Field Services North
47,T1190 FS Nth,Truck Isuzu NPR75-190 Tipper 7.5T,Field Services North
48,T1191 FS Sth,Truck Mitsubishi Fuso Canter 515 Light MRO 4.5T,Field Services South
49,T1192 FS Nth,Truck Isuzu NLR45-150 Light MRO 4.5T,Field Services North
50,T1193 Pri Wks Sth,Truck Isuzu NQR87-190 Multipurpose 8.7T,Private Works South
51,T1194 Pri Wks Sth,Truck Isuzu NPR75-190 Multi Purpose Tipper 7.5T,Private Works South
52,T1195 FS Sth JET ROD,Truck Hino FE1426 4890 Jetrodding 14T,Field Services South
53,T1196 FS Nth,Truck Isuzu NPR75-190 Tipper 7.5T,Field Services North
54,T1198 ME Sth,Truck Mitsubishi Fuso FK62 Crane 11T,Mechanical and Electrical Services - South
55,T1199 ME Nth,Truck Isuzu NPS75-150 4 x 4 7.5T Crane,Mechanical and Electrical Services - North
56,T1200 Pri Wks Nth,Truck Hino 921 XXLong Multi Purpose Tipper 8.5T,Private Works North
57,T1201 Pri Wks Nth,Truck Isuzu NPR 65-190 MWB AMT Tipper 6.5T,Private Works North
58,T1202 FS Sth,Truck Isuzu FRR107-210 AMT Multi Purpose 10.7T,Field Services South
